package_age_days,maintainer_count,maintainer_account_age,commits_per_month,release_frequency,version_spike_ratio,contributor_growth_rate,repo_popularity_score,ownership_change_flag,download_trend_score,cve_count,cve_severity_score,dependency_depth,historical_risk_score,is_malicious
2341,3,6.4,12.3,0.8,0.2,0.1,0.72,0,0.05,0,0.0,1,0.1,0
1823,5,4.9,18.7,1.2,0.1,0.3,0.85,0,0.12,0,0.0,2,0.05,0
456,2,1.2,4.5,2.1,0.5,0.0,0.12,0,0.02,1,0.25,1,0.3,0
3200,8,8.7,32.1,0.6,0.1,0.5,0.91,0,0.18,0,0.0,3,0.02,0
89,1,0.2,1.2,8.3,4.5,0.0,0.01,1,−0.3,0,0.0,0,0.8,1
145,1,0.3,0.8,6.7,3.9,−0.2,0.02,1,−0.5,1,0.75,0,0.9,1
2100,4,5.6,14.2,0.9,0.2,0.2,0.65,0,0.08,0,0.0,2,0.08,0
730,2,2.0,5.3,1.8,0.4,0.0,0.22,0,0.01,2,0.5,1,0.35,1
67,1,0.1,0.3,12.1,6.2,0.0,0.005,1,−0.7,0,0.0,0,0.95,1
4500,10,12.3,45.6,0.4,0.05,0.8,0.97,0,0.25,0,0.0,5,0.01,0
380,2,1.0,2.1,3.4,1.2,−0.1,0.08,0,−0.2,3,0.65,1,0.55,1
2800,6,7.2,28.4,0.7,0.1,0.4,0.88,0,0.15,1,0.25,3,0.04,0
120,1,0.3,0.5,9.8,5.1,0.0,0.01,1,−0.6,0,0.0,0,0.87,1
950,3,2.6,8.7,1.5,0.3,0.1,0.38,0,0.04,1,0.25,2,0.22,0
1650,4,4.5,16.3,1.0,0.2,0.2,0.68,0,0.10,0,0.0,2,0.07,0
55,1,0.1,0.2,15.4,8.3,0.0,0.003,1,−0.9,2,0.9,0,0.98,1
3600,7,9.8,38.2,0.5,0.07,0.6,0.93,0,0.20,0,0.0,4,0.02,0
210,1,0.6,1.8,5.2,2.8,−0.1,0.04,1,−0.4,1,0.5,0,0.72,1
1200,3,3.3,10.5,1.3,0.3,0.1,0.48,0,0.06,0,0.0,2,0.12,0
5000,12,13.7,52.3,0.3,0.04,0.9,0.99,0,0.30,0,0.0,6,0.005,0
440,2,1.2,3.8,2.6,0.7,0.0,0.15,0,0.01,2,0.5,1,0.42,1
1900,5,5.2,19.8,1.1,0.2,0.3,0.76,0,0.13,0,0.0,3,0.06,0
78,1,0.2,0.4,11.2,5.8,0.0,0.007,1,−0.8,1,0.75,0,0.92,1
2500,6,6.8,25.1,0.8,0.1,0.4,0.82,0,0.17,0,0.0,3,0.03,0
330,2,0.9,2.8,3.8,1.5,−0.2,0.06,0,−0.15,2,0.6,1,0.48,1
1400,4,3.8,13.6,1.2,0.25,0.2,0.57,0,0.08,1,0.25,2,0.14,0
4100,9,11.2,42.5,0.4,0.06,0.7,0.95,0,0.22,0,0.0,5,0.015,0
180,1,0.5,1.2,7.1,3.7,0.0,0.03,1,−0.45,0,0.0,0,0.82,1
600,2,1.6,5.8,2.0,0.5,0.0,0.18,0,0.02,1,0.5,1,0.3,0
2200,5,6.0,21.7,0.9,0.15,0.3,0.78,0,0.14,0,0.0,2,0.05,0
100,1,0.3,0.6,10.5,5.4,0.0,0.008,1,−0.65,1,0.75,0,0.89,1
3900,8,10.6,40.1,0.45,0.06,0.65,0.94,0,0.21,0,0.0,4,0.018,0
260,1,0.7,2.2,4.9,2.5,−0.05,0.05,0,−0.3,2,0.65,1,0.61,1
1100,3,3.0,9.8,1.4,0.28,0.15,0.44,0,0.05,0,0.0,2,0.10,0
4700,11,12.9,49.2,0.35,0.045,0.85,0.98,0,0.28,0,0.0,6,0.008,0
500,2,1.4,4.2,2.3,0.6,0.0,0.16,0,0.01,2,0.55,1,0.38,0
1750,4,4.8,17.1,1.05,0.22,0.25,0.70,0,0.11,0,0.0,2,0.065,0
92,1,0.25,0.45,10.9,5.6,0.0,0.006,1,−0.75,0,0.0,0,0.91,1
3300,7,8.9,35.4,0.55,0.08,0.55,0.90,0,0.19,0,0.0,4,0.022,0
195,1,0.55,1.5,6.5,3.4,−0.05,0.035,1,−0.5,1,0.5,0,0.77,1
1350,3,3.7,12.8,1.25,0.27,0.18,0.53,0,0.07,1,0.25,2,0.13,0
4300,9,11.8,44.3,0.42,0.055,0.75,0.96,0,0.23,0,0.0,5,0.012,0
160,1,0.45,1.0,7.8,4.0,0.0,0.025,1,−0.55,0,0.0,0,0.85,1
680,2,1.9,6.3,1.85,0.45,0.05,0.21,0,0.03,1,0.5,1,0.28,0
2050,5,5.6,20.4,1.0,0.18,0.28,0.74,0,0.12,0,0.0,3,0.055,0
283,2,0.8,2.5,4.2,1.8,−0.15,0.055,0,−0.2,2,0.58,1,0.52,1
1500,4,4.1,14.9,1.15,0.24,0.22,0.60,0,0.09,0,0.0,2,0.11,0
4600,10,12.5,47.8,0.38,0.048,0.82,0.975,0,0.27,0,0.0,6,0.009,0
135,1,0.38,0.85,9.2,4.8,0.0,0.009,1,−0.7,1,0.75,0,0.88,1
2650,6,7.2,26.8,0.75,0.12,0.42,0.84,0,0.16,0,0.0,3,0.034,0
360,2,1.0,3.2,3.2,1.1,−0.12,0.07,0,−0.18,2,0.62,1,0.45,1
1050,3,2.9,9.2,1.45,0.29,0.13,0.41,0,0.045,1,0.25,2,0.115,0
3750,8,10.2,39.0,0.48,0.065,0.62,0.935,0,0.205,0,0.0,4,0.019,0
225,1,0.62,1.9,5.8,3.0,0.0,0.042,1,−0.42,0,0.0,0,0.79,1
1250,3,3.4,11.2,1.35,0.26,0.17,0.49,0,0.065,0,0.0,2,0.12,0
4200,9,11.5,43.5,0.43,0.057,0.72,0.955,0,0.225,0,0.0,5,0.013,0
172,1,0.48,1.1,7.5,3.9,0.0,0.028,1,−0.52,1,0.75,0,0.86,1
720,2,2.0,6.0,1.9,0.47,0.04,0.20,0,0.025,0,0.0,1,0.26,0
2150,5,5.9,21.2,0.95,0.17,0.27,0.75,0,0.125,0,0.0,3,0.058,0
305,2,0.85,2.7,4.0,1.7,−0.13,0.058,0,−0.22,2,0.60,1,0.50,1
1450,4,4.0,14.2,1.18,0.23,0.20,0.58,0,0.085,0,0.0,2,0.108,0
4800,11,13.1,50.5,0.36,0.046,0.87,0.982,0,0.29,0,0.0,6,0.007,0
115,1,0.32,0.72,9.7,5.0,0.0,0.008,1,−0.68,0,0.0,0,0.90,1
2750,6,7.5,27.5,0.72,0.11,0.44,0.855,0,0.165,0,0.0,3,0.032,0
410,2,1.1,3.5,2.9,1.0,−0.1,0.08,0,−0.16,2,0.60,1,0.43,1
1150,3,3.15,10.1,1.42,0.285,0.14,0.455,0,0.048,0,0.0,2,0.112,0
3850,8,10.5,39.8,0.47,0.062,0.64,0.938,0,0.208,0,0.0,4,0.0185,0
205,1,0.58,1.7,6.2,3.2,0.0,0.038,1,−0.46,0,0.0,0,0.78,1
1300,3,3.55,11.8,1.32,0.265,0.175,0.51,0,0.068,1,0.25,2,0.118,0
4400,9,12.0,45.1,0.41,0.052,0.77,0.962,0,0.228,0,0.0,5,0.011,0
155,1,0.43,0.95,8.0,4.1,0.0,0.027,1,−0.54,1,0.75,0,0.87,1
650,2,1.8,5.5,2.05,0.48,0.03,0.19,0,0.022,0,0.0,1,0.27,0
2250,5,6.1,22.0,0.92,0.16,0.29,0.765,0,0.128,0,0.0,3,0.052,0
275,2,0.78,2.4,4.35,1.85,−0.14,0.053,0,−0.24,2,0.62,1,0.53,1
1550,4,4.2,15.4,1.12,0.235,0.21,0.615,0,0.092,0,0.0,2,0.107,0
3150,7,8.6,33.8,0.57,0.082,0.52,0.895,0,0.188,0,0.0,4,0.024,0
85,1,0.22,0.35,11.8,6.0,0.0,0.005,1,−0.82,1,0.8,0,0.935,1
2400,6,6.5,24.2,0.82,0.13,0.38,0.805,0,0.155,0,0.0,3,0.038,0
470,2,1.3,4.0,2.5,0.65,0.0,0.14,0,0.012,2,0.52,1,0.40,1
1850,4,5.1,18.2,1.02,0.19,0.26,0.715,0,0.115,0,0.0,2,0.062,0
3700,8,10.1,38.5,0.49,0.063,0.60,0.932,0,0.202,0,0.0,4,0.020,0
130,1,0.36,0.78,9.4,4.9,0.0,0.0085,1,−0.69,0,0.0,0,0.895,1
2550,6,7.0,25.8,0.78,0.12,0.41,0.832,0,0.162,0,0.0,3,0.036,0
350,2,0.98,3.0,3.5,1.3,−0.11,0.065,0,−0.19,2,0.61,1,0.47,1
1250,3,3.4,11.0,1.37,0.275,0.16,0.485,0,0.062,0,0.0,2,0.122,0
3600,7,9.8,37.5,0.51,0.07,0.57,0.928,0,0.198,0,0.0,4,0.021,0
175,1,0.49,1.15,7.6,3.95,0.0,0.029,1,−0.53,1,0.75,0,0.862,1
690,2,1.92,6.1,1.88,0.46,0.04,0.205,0,0.026,0,0.0,1,0.265,0
2180,5,5.95,21.5,0.97,0.175,0.275,0.752,0,0.122,0,0.0,3,0.056,0
290,2,0.82,2.6,4.1,1.75,−0.135,0.056,0,−0.21,2,0.59,1,0.515,1
1470,4,4.02,14.5,1.16,0.232,0.205,0.592,0,0.088,0,0.0,2,0.109,0
4650,10,12.7,48.5,0.37,0.047,0.84,0.978,0,0.285,0,0.0,6,0.0085,0
125,1,0.35,0.76,9.5,4.92,0.0,0.0082,1,−0.685,0,0.0,0,0.902,1
2680,6,7.3,27.0,0.73,0.115,0.43,0.842,0,0.163,0,0.0,3,0.033,0
395,2,1.08,3.4,3.0,1.05,−0.105,0.075,0,−0.165,2,0.605,1,0.44,1
1120,3,3.08,9.5,1.44,0.288,0.135,0.44,0,0.046,0,0.0,2,0.113,0
3800,8,10.35,39.3,0.475,0.064,0.625,0.936,0,0.206,0,0.0,4,0.0188,0
218,1,0.6,1.8,6.0,3.15,0.0,0.04,1,−0.44,0,0.0,0,0.782,1
1280,3,3.48,11.5,1.33,0.268,0.172,0.498,0,0.066,1,0.25,2,0.12,0
4350,9,11.9,44.7,0.415,0.054,0.755,0.958,0,0.226,0,0.0,5,0.0115,0
162,1,0.46,1.02,7.72,4.05,0.0,0.0275,1,−0.535,1,0.75,0,0.868,1
665,2,1.85,5.7,2.0,0.475,0.035,0.195,0,0.023,0,0.0,1,0.268,0
2220,5,6.05,21.8,0.94,0.168,0.282,0.758,0,0.126,0,0.0,3,0.054,0
88,1,0.23,0.38,11.5,5.9,0.0,0.0052,1,−0.81,0,0.0,0,0.932,1
2420,6,6.55,24.5,0.81,0.128,0.385,0.808,0,0.157,0,0.0,3,0.037,0
458,2,1.25,4.05,2.52,0.64,0.005,0.145,0,0.013,2,0.53,1,0.41,1
1820,4,5.0,18.0,1.03,0.192,0.258,0.713,0,0.113,0,0.0,2,0.063,0
3720,8,10.15,38.8,0.488,0.061,0.61,0.933,0,0.203,0,0.0,4,0.0198,0
